Item_code,Item_name,Category,Sub_category
018341751260,BAREFOOT BUBBLY BRUT 750ML,,
018691242258,FATTOI BRUNELLO DI MONTALCINO,,
019000082503,LIFE SAVER GUMMIES,,
020106500464,FRANCO SERRA BAROLO 750ML,,
020106501973,SUN GARDEN RIESLING 750ML,,
020106502901,FRANCO SERRA BARBERA D ABLA 75,,
020383106861,SAMURAI PLUS,,
020400050382,MISTY BLUE 120 S CARTON,,
020501130457,TRAIL S BEST BACON JERKY,,
020501716217,beefcheese,,
020501716583,PICKLED sausage,,
020507000112,BIT BURGER 4PK CAN 16.9OZ,,
021242240146,KCCO BLACK LAGER CASE BOT,,
021242600049,RED HOOK PUMPKIN PORTER 6PK BT,,
021242600148,KCCO BLACK LAGER 6PK BOT,,
021296000918,TAYLOR BLUSH 1.5L,,
021296000925,TAYLOR BLUSH 3L,,
021296006019,PAUL MASSON BRANDY 750ML,,
021296006033,Paul Masson 200ml,,
021296006064,Paul Masson 375ml,,
021296021012,PAUL MASSON VSOP BRANDY 200ML,,
021296046251,Paul Masson 375ml,,
021296046275,Paul Masson 750ml,,
021296100021,PAUL MASSON CHABLIS ,,
021296208055,DEER VALLEY WH. ZINF 1.5L,,
021296600316,PAUL MASSON BRANDY 50ML,,
021296604550,PAUL MASSON BURGUNDY 3LT,,
021296604666,PAUL MASSON CHABLIS ,,
021296620024,PAUL MASSON PEACH 750ML,,
021296620079,PAUL MASSON RED BERRY 750ML,,
021893786109,LUNA CHARD. PINOT GRIG 750ML,,
021893786208,LUNA CHARD. PINOT GRIG 1.5L,,
021893786451,LUNA PI BIANCO. SAUV 1.5L,,
021893787908,BELMONDO PINOT GRIGIO,,
021893787915,BELMONDO CHARD 750ML,,
021893788776,LUNA CAB. MERLOT 1.5L,,
021893789087,LUNA DI LUNA MERLOT-CAB 750ML,,
021893789537,BELMONDO ZIN 1.5L,,
021893791622,LUNA MERLOT 750ML,,
021893791639,LUNA MERLOT 1.5L,,
021893792971,LUNA PINO.BIANCO 750,,
021893792988,LUNA PIN GRIG. BIANCO 1.5L,,
021893793350,LUNA PI BIANCO. SAUV. 750ML,,
021893793503,LUNA SHIRAZ. MERLOT 750ML,,
021893793527,LUNA SHIRAZ. MERLOT 1.5L,,
021893795750,LUNA PINK MERLOT 750ML,,
021893795767,LUNA PINK MERLOT 1.5L,,
021893796597,VOGA SPARKLING WHITE 187ML,,
022000001580,HUBBA BUBBA TRIPLE,,
022000005144,5 RAIN 15PC,,
022000010339,ECLIPSE BREEZE EXOTIC BERRY,,
022000010803,LIFE SAVER GUMMIES,,
022000011794,ORBIT TROPICAL REMIX,,
022000012098,ORBIT STRAWBERRY REMIX,,
022000012937,STARBURST SWEET FIESTA,,
022000012999,WRIGLEY 5 GREEN APPLE,,
022000013170,5 SWEET TROPICAL,,
022000013187,EXTRA DESSERT DEL ORAN CREA,,
022000013194,ECLIPSE PEPPERMEIN,,
022000013200,ECLIPSE WINTERFROST,,
022000013279,ECLIPSE POLAR ICE 18PC,,
022000013316,ECLIPSE SPEARMINT 18PC,,
022000013347,ORBIT WILDBERRY REMIX,,
022000013439,ORBIT WHITE PEPPERMINT 18 PC,,
022000013477,ORBIT WHITE,,
022000013743,ORBIT MELON REMIX,,
022000014054,SKITTLES RIDDLES,,
022000014139,EXTRA SMOOTH MINT 15ST,,
022000014634,LIFESAVERS GUMMIES SHARE SIZE,,
022000014689,5 ENERGIZING FRUIT,,
022000014696,STARBURST MINIS UNWRAPPED,,
022000014719,5 RPM RELAXING MINT,,
022000015259,SKITTLES,,
022000015518,STARBURST VERY BERRY,,
022000015532,WRIGLEY S 5 ASCENT 15ST,,
022000015853,JUICY FRUIT BUBBLE GUM,,
022000015969,SKITTLES WILD BERRY SHARE SIZE,,
022000016096,SKITTLES DESSERTS,,
022000016188,WRIGLEY S 5 FOCUS 15PC,,
022000016195,WRIGLEY S 5 FOCUS 15PC,,
022000016478,STARBURST SUPERFRUIT,,
022000016560,SKITTLES ORCHARDS,,
022000017482,STARBURST JUICY FRUIT CHERRY,,
022000017499,JUICY FRUIT STARBURST STRAWBER,,
022000018410,JUICY FRUIT STARBURST WATERMEL,,
022000019196,SKITTLES CAULDRON,,
022000027856,ALERT ENERGY CAFFEINE GUM 8PC,,
